"date","number of sims","sample size","chooser","chooser_params","prior.i","prior.j","prior.k","prior.l","power","ENS"
2024-07-17,50,2,"DBCD",2,100,100,3,1,0,0.666666666666667
2024-07-17,50,4,"DBCD",2,100,100,3,1,0,0.686274509803922
2024-07-17,50,8,"DBCD",2,100,100,3,1,0,0.693627450980392
2024-07-17,50,16,"DBCD",2,100,100,3,1,0.0784313725490196,0.708333333333333
2024-07-17,50,32,"DBCD",2,100,100,3,1,0.372549019607843,0.704656862745098
2024-07-17,50,64,"DBCD",2,100,100,3,1,0.647058823529412,0.708639705882353
2024-07-17,50,128,"DBCD",2,100,100,3,1,0.745098039215686,0.723498774509804
2024-07-17,50,256,"DBCD",2,100,100,3,1,0.764705882352941,0.725260416666667
2024-07-17,500,2,"DBCD",2,100,100,3,1,0,0.617764471057885
2024-07-17,500,4,"DBCD",2,100,100,3,1,0,0.624750499001996
2024-07-17,500,8,"DBCD",2,100,100,3,1,0,0.67440119760479
2024-07-17,500,16,"DBCD",2,100,100,3,1,0.127744510978044,0.70059880239521
2024-07-17,500,32,"DBCD",2,100,100,3,1,0.281437125748503,0.711514471057884
2024-07-17,500,64,"DBCD",2,100,100,3,1,0.540918163672655,0.713947105788423
2024-07-17,500,128,"DBCD",2,100,100,3,1,0.706586826347305,0.716442115768463
2024-07-17,500,256,"DBCD",2,100,100,3,1,0.806387225548903,0.720254802894212
2024-07-17,500,512,"DBCD",2,100,100,3,1,0.874251497005987,0.719962418912176
2024-07-17,100,2,"balanced",NA,100,100,3,1,0,0.663366336633663
2024-07-17,100,4,"balanced",NA,100,100,3,1,0,0.621287128712871
2024-07-17,100,8,"balanced",NA,100,100,3,1,0,0.608910891089109
2024-07-17,100,16,"balanced",NA,100,100,3,1,0.118811881188119,0.603960396039604
2024-07-17,100,32,"balanced",NA,100,100,3,1,0.277227722772277,0.600556930693069
2024-07-17,100,64,"balanced",NA,100,100,3,1,0.504950495049505,0.602413366336634
2024-07-17,100,128,"balanced",NA,100,100,3,1,0.623762376237624,0.596147896039604
2024-07-17,100,256,"balanced",NA,100,100,3,1,0.742574257425743,0.593943378712871
